,sentence,predicted_langugae,target_language
12404,og når man kommer forbi den delte,Danish,Danish
12405,og vi kan sige hej til vore venner,Danish,Danish
12406,høje d vitamin niveauer tror jeg er en markør for eksponering for sollys,Danish,Danish
12407,algú inclús li havia aconseguit,Catalan,Catalan
12408,at dele viden med andre tak bifald,Danish,Danish
12409,que eu tinha deixado ficar mal a minha família,Portuguese,Portuguese
12410,men som på sin vis antydes i modsætningen i hans noder,Danish,Danish
12411,i els vaig demanar que escrivissin un titular de la història dotello,Catalan,Catalan
12412,fordi vores manglende evne til at opleve fortrydelse,Danish,Danish
12413,mi ha quasi uccisa me ne sono andata e anche voi potete farlo,Italian,Italian
12414,si vous leur demandez questce que votre vie sociale,French,French
12415,hi ha nens,Catalan,Catalan
12416,e questo è uno dei risultati della conferenza gratis,Italian,Italian
12417,ser chamado de infantil pode ser frequente,Portuguese,Portuguese
12418,omdat we ze sneller en goedkoper maken,Dutch,Dutch
12419,uden vægge,Danish,Danish
12420,applausi,Italian,Italian
12421,je dois mempêcher de réagir,French,French
12422,något som ofta sker,Swedish,Swedish
12423,de daken temperen niet alleen,Dutch,Dutch
12424,a présent elle allait voir,French,French
12425, el seu impacte ,Catalan,Catalan
12426,veus responsables,Catalan,Catalan
12427,och det här är den svåra biten jag försöker bli en bättre människa,Swedish,Swedish
12428,kreativitetens arvelige følelsesmæssige risici,Danish,Danish
12429,um ihre ideen in die tat umsetzen zu können,German,German
12430,por isso vou jogar ou vou praticar desporto,Portuguese,Portuguese
12431,zet een prijs op koolstof we hebben een cotaks nodig inkomstenneutraal,Dutch,Dutch
12432,malheureusement,French,French
12433,daar wil ik niet over schrijven,Dutch,Dutch
12434,deze jongen is beroepsdanser,Dutch,Dutch
12435,jk já tínhamos pintado uma rua inteira,Portuguese,Portuguese
12436,tack boulder ha en trevlig kväll,Swedish,Swedish
12437,för ungefär sex miljoner år sedan,Swedish,Swedish
12438,maar marketing is niet waar ik over wil praten,Dutch,Dutch
12439,la comoditat ja no és la raó per la qual veiem la televisió,Catalan,Catalan
12440,on es respira i sentra en contacte,Catalan,Catalan
12441,ambos fomos mudados para,Portuguese,Portuguese
12442,que vêem ali em baixo,Portuguese,Portuguese
12443,eu sabia que isso estava a acontecer eu sabia que o ártico estava a aquecer,Portuguese,Portuguese
12444,in un museo dellolocausto a yad vashem a jerusalemme,Italian,Italian
12445,i certament és com he pensat els últims mesos,Catalan,Catalan
12446,her ser i produktionshallen i et moderne aluminiumsværk,Danish,Danish
12447,maar ik begon te beseffen dat ik dieren kon identificeren,Dutch,Dutch
12448,nous avons besoin dautres stratégies parallèles qui viennent en ligne,French,French
12449,faktisk jimmy kimmel,Danish,Danish
12450,som humans és el que fem és una de les nostres característiques,Catalan,Catalan
12451,la risposta appropriata alla resistenza allinsulina,Italian,Italian
12452,per el meu primer llibre,Catalan,Catalan
12453,ma un componente fondamentale dellistruzione,Italian,Italian
12454,risate,Italian,Italian
12455,à moi et à ma famille,French,French
12456, par jour nécessitant une intervention de la police ou de larmée,French,French
12457,och istället ha en organisk trädgård,Swedish,Swedish
12458,det kan være lidt ligesom en skål spaghetti,Danish,Danish
12459,a anni scrissi,Italian,Italian
12460,se lui non avesse deciso di toglierli,Italian,Italian
12461,og det ville komme susende mod hende henover landskabet,Danish,Danish
12462,il y a notre bon élève ce labrador,French,French
12463,wenn wir die artikel weg ließen,German,German
12464,menneskelig foretagsomhed,Danish,Danish
12465, giorni lo sviluppo delle cavità del cuore,Italian,Italian
12466,no funciona hi ha un munt de grans inversions,Catalan,Catalan
12467,della persona più carismatica e dominante,Italian,Italian
12468,fascinerande nog har det under de senaste åren,Swedish,Swedish
12469,però però ,Catalan,Catalan
12470,dies sind allein die preise die wir im herbst gewonnen haben,German,German
12471,og indtil for et par år siden,Danish,Danish
12472,applaus,Dutch,German
12473,na china não existia nada assim,Portuguese,Portuguese
12474,ze zullen het doel van hun missie kennen,Dutch,Dutch
12475,la crisi financera realment és un fenomen històric relativament petit,Catalan,Catalan
12476,et års forbrug af email,Danish,Danish
12477,we willen dat het verdwijnt,Dutch,Dutch
12478,och nu kan vi för första gången göra det,Swedish,Swedish
12479,e na síria mais específicamente,Portuguese,Portuguese
12480,wir baten leute origami zu falten,German,German
12481,et certains,French,French
12482,leco de la vergonya només arribava,Catalan,Catalan
12483,e a mudar o clima como nunca,Portuguese,Portuguese
12484,je suppose que ça ne se fera pas,French,French
12485,den har lysorganer i hvert enkelt skæl i finnerne,Danish,Danish
12486,na ja ich weiß nicht,German,German
12487,da atti di violenza,Italian,Italian
12488,etwas das wir heutzutage vielleicht gern sehen würden,German,German
12489,dit is het antwoord op wat is mooi,Dutch,Dutch
12490,sono istituti distruzione dove istruiscono le persone,Italian,Italian
12491,o meu dia a dia tornouse muito duro,Portuguese,Portuguese
12492,das ist malcolm x und die suffragetten,German,German
12493,und sie gestaltete sie so dass sie in teile zum bezahlen gebrochen werden können,German,German
12494,in wirklichkeit sind die leute,German,German
12495,et ils affirment cela comme si cétait normal,French,French
12496,quase todos os dias,Portuguese,Portuguese
12497,hvad med disse bekendte ansigter,Danish,Danish
12498,och aporna i den skogen,Swedish,Swedish
12499,en toen ik daarmee begon zon of jaar geleden,Dutch,Dutch
12500,en ze drinken er twee per dag,Dutch,Dutch
12501,e un ambiente lavorativo,Italian,Italian
12502,per esempio la traduzione di una piccolissima frazione del web wikipedia,Italian,Italian
12503,und dieses heisst den kürzeren ziehen,German,German
12504,faktisk hvad angår de fem sanser,Danish,Danish
12505,sur des prises dans la rue,French,French
12506,la primera nit que vaig sortir vaig anar a una festa ben luxosa,Catalan,Catalan
12507,del dilema econòmic dàfrica està mal emmarcada,Catalan,Catalan
12508,com voldria que fos la meva casa,Catalan,Catalan
12509,au bout dune longue ligne de pêche,French,French
12510,e esse motor terá resultados dentro de anos,Portuguese,Portuguese
12511,das nicht ihr eigenes ist,German,German
12512,og jeg var helt vild med at være manuskriptforfatter,Danish,Danish
12513,è fatta di asfalto,Italian,Italian
12514,med anna och elsa från frost,Swedish,Swedish
12515,je kan de intensiteit de frequentie,Dutch,Dutch
12516,okay das ist totaler müll,German,German
12517,avui els vull parlar de somnis,Catalan,Catalan
12518,quand jai apporté les bancs vivants automoteurs,French,French
12519,från olika länder,Swedish,Swedish
12520,ovissheten på aktiemarknaden,Swedish,Swedish
12521,accepter les décisions,French,French
12522,penso que o taskrabbit,Portuguese,Portuguese
12523,nachrichten verfolgt haben,German,German
12524,des del punt de vista dels cinc sentits ei,Catalan,Catalan
12525,representa o desconhecido,Portuguese,Portuguese
12526,che tutte le forze che hanno a che fare con il nostro ambiente naturale,Italian,Italian
12527,cada vez mais extensas,Portuguese,Portuguese
12528,travailleur humanitaire kidnappé,French,French
12529,av fett socker och alla de andra ickematingredienserna,Swedish,Swedish
12530, del món ,Catalan,Catalan
12531,zusammengestellten durchgefallenen cartoons,German,German
12532,stiamo facendo la stessa cosa,Italian,Italian
12533,die richtige antwort lautet meilen,German,German
12534,questo video mostra lisa mallette,Italian,Italian
12535,prostaatkanker,German,Dutch
12536,här är tio dollar oavsett om du har ett allmänt eller privatiserat,Swedish,Swedish
12537,lasciatemi iniziare con losservazione che la maggior parte dei suoni che ci circondano è casuale,Italian,Italian
12538,e quando o tipo vier,Portuguese,Portuguese
12539,ora sarete curiosi di sapere se la cosa ha funzionato,Italian,Italian
12540,var den rette for øjeblikket,Danish,Danish
12541,so viel kohlenstoff wie möglich so schnell wie möglich aus der erde zu fördern und,German,German
12542,ils disparaissent,French,French
12543,maar het mooie ervan is,Dutch,Dutch
12544,a fazer de conta que é o king kong,Portuguese,Portuguese
12545,de ce quest un poids acceptable,French,French
12546,depois algo muito engraçado aconteceu,Portuguese,Portuguese
12547,aber es hat sich mit einer exponentiellen geschwindigkeit entwickelt,German,German
12548,genau wie unsere teilnehmer,German,German
12549,non seulement dimages mais aussi de vidéos,French,French
12550,aujourdhui je veux vous parler de prospérité,French,French
12551,när vänner och andra resande,Swedish,Swedish
12552,und leiter der wissenschaftlichen visualisierung,German,German
12553,calcul  dollars de calcul seront bien plus puissants,French,French
12554,il avait ce magnifique couteau quil a retiré de son gho,French,French
12555,hvorfor gode småkryb,Danish,Danish
12556,que forneceu o combustível,Catalan,Portuguese
12557,vers les nombreux rameaux dynamiques,French,French
12558,sinó perquè és una via per fugir del formiguer humà,Catalan,Catalan
12559,pessoas comuns até o sultão muçulmanos e nãomuçulmanos,Portuguese,Portuguese
12560,het gevolg hiervan zal zijn,Dutch,Dutch
12561,i länder med muslimsk majoritet,Swedish,Swedish
12562,le linee bianche sono quello che si chiama ciclo avanzato del combustibile,Italian,Italian
12563,publikum griner,Danish,Danish
12564,cela pourrait sauver votre vie et prévenir une insuffisance cardiaque,French,French
12565,então precisámos de teorias de alvos,Portuguese,Portuguese
12566,però si no ho aconsegueixes,Catalan,Catalan
12567,och ni kan vara briljanta medvetna lyssnare,Swedish,Swedish
12568,en ze keken een tvquiz,Dutch,Dutch
12569,enkel door het beheersen van neurale activiteit,Dutch,Dutch
12570,e asa chandlar con la cocacola,Italian,Italian
12571,sense importar quina crisi els hi toqui la següent vegada si pots,Catalan,Catalan
12572,mudouse para nova iorque,Portuguese,Portuguese
12573,och av de procent som landade,Swedish,Swedish
12574,de vasto tecido da humanidade ,Portuguese,Portuguese
12575,ce qui est encore mieux car nous pouvons dépenser ces revenus,French,French
12576,i år i ,Danish,Danish
12577,in quel momento nel ristorante in cui ero,Italian,Italian
12578,i sufi dicono la conoscenza che ti porta non al di là di te stesso,Italian,Italian
12579,publiken ja,Swedish,Swedish
12580,sur ce que les cellules,French,French
12581,att göra klosstelefonen ara,Swedish,Swedish
12582,oder wird wie ein drache herumbewegt,German,German
12583,vi vil gerne have at mennesker oversætter hele internettet,Danish,Danish
12584,har förlorat kontrollen över data,Swedish,Swedish
12585,startede vi denne nye kampagne,Danish,Danish
12586,uma importante descoberta na energia é o mais importante,Portuguese,Portuguese
12587,i diu i els gossos,Catalan,Catalan
12588,og taler om hvor latterligt det var at mennesker kørte biler,Danish,Danish
12589,on a des alliances fixes ,French,French
12590,und selbstlosen verhalten,German,German
12591,jag sa varför det här är viktiga beslut,Swedish,Swedish
12592,solch großzügige und wunderbare spenden,German,German
12593,utanför finns en kö av kvinnor,Swedish,Swedish
12594,existe por isso a ideia de que talvez existam buracos negros,Portuguese,Portuguese
12595,mit dem freundlichen erscheinungsbild,German,German
12596,want dit mogen we niet vergeten,Dutch,Dutch
12597,estavam a dizer algo que era viável,Portuguese,Portuguese
12598,som medmennesker så bliver det meget svært,Danish,Danish
12599,dus het is een beetje vreemd,Dutch,Dutch
12600,en hier begon het avontuur pas echt,Dutch,Dutch
12601,för de finns på,Swedish,Swedish
12602,il mio io cercava sempre di diventare qualcosa o qualcuno,Italian,Italian
12603,die sonne ließ die blätter,German,German
12604,par exemple pour toutes les conférences sur la nourriture,French,French
12605,il pixel era acceso o spento,Italian,Italian
12606,se tourner fermer ses yeux,French,French
12607,en ferlo més saludable,Catalan,Catalan
12608,e in realtà ho alcuni esempi,Italian,Italian
12609,ou quatre degrés nous nous dirigeons vers six degrés,French,French
12610,braakliggend terrein,Dutch,Dutch
12611,hjärnan plockas ut ur skallen,Swedish,Swedish
12612,é triplicada na conta da outra pessoa,Portuguese,Portuguese
12613,war ich daher wie man erwarten könnte,German,German
12614,då ger det oss anledning att känna djup skam det gör det i alla fall för mig,Swedish,Swedish
12615,el nombre de pètals duna flor,Catalan,Catalan
12616,e io penso che a questo punto ci verrà in aiuto unaltra mente,Italian,Italian
12617,estamos a criar ambientes que,Portuguese,Portuguese
12618,aquí a seattle,Catalan,Catalan
12619,o imagineuvos a un pare islàmic la filla del qual ha estat violada,Catalan,Catalan
12620,i uns tubs de laboratori,Catalan,Catalan
12621,vil ingen tro dig før de får en cat eller mri scanning,Danish,Danish
12622,ora tornando ai grandi marchi alle etichette,Italian,Italian
12623,després dhaver estat detingut durant un temps,Catalan,Catalan
12624,toeristen in boten met glazen bodem zouden de verdronken torens van miami kunnen gaan bekijken,Dutch,Dutch
12625,in een ander deel van ghana,Dutch,Dutch
12626,al no fa tant de temps,Catalan,Catalan
12627,para deixar o vestígio da sua vida,Portuguese,Portuguese
12628,prijzen stabiliseerden,Dutch,Dutch
12629,waren wieder gewachsen,German,German
12630,bem não houve escapatória,Portuguese,Portuguese
12631,ils savent quils peuvent contrôler leur monde,French,French
12632,ju mer attraktiv hon finner honom desto mer sex har de,Swedish,Swedish
12633,perché è molto stupido,Italian,Italian
12634,dieser methoden kennen,German,German
12635,i si les armes donen un avantatge a lagressor,Catalan,Catalan
12636,ich war so aufgeregt ja,German,German
12637,de fazer uma estrela num frasco,Portuguese,Portuguese
12638,stiamo entrando in territori inesplorati e comunque,Italian,Italian
12639,können wir wirklich diese dinge entwickeln,German,German
12640,et jai eu de ses pièces pour mon école,French,French
12641,em quão demasiado mimados nos tornámos,Portuguese,Portuguese
12642,vi kan göra detsamma för energi från jordvärme,Swedish,Swedish
12643,alors il faut bien commencer quelque part,French,French
12644,i a aquestes porcions els donem forma primer és com un esboç,Catalan,Catalan
12645,en identitet blev primært defineret,Danish,Danish
12646,und ich plädiere hier wirklich dafür,German,German
12647,har man så konstrueret forventning,Danish,Danish
12648,och nordens bombsikte fungerar inte lika bra,Swedish,Swedish
12649,lultimo ricordo permanente,Italian,Italian
12650,ogni singolo tedtalk in sei parole,Italian,Italian
12651,året på lotto kuponer,Swedish,Danish
12652,aplausos,Portuguese,Portuguese
12653,maar je moet doorgaan,Dutch,Dutch
12654,en menant des recherches génétiques,French,French
12655,provocaties ik zeg als dit gebeurt dan dat,Dutch,Dutch
12656,want het verbond mensen uit de virtuele wereld,Dutch,Dutch
12657,können sie mir sagen an welchem wochentag ich geboren wurde,German,German
12658,det er dybt demokratiserende,Danish,Danish
12659,mitgegeben wurde,German,German
12660,diese frage habe ich bereits im ganzen land gestellt,German,German
12661,forats fístules,Catalan,Catalan
12662,el resultat de la meva multitasca riures,Catalan,Catalan
12663,ara estimava aquells llibres americans i anglesos que solia llegir,Catalan,Catalan
12664,je ziet dat deze grote al bedooierde eieren,Dutch,Dutch
12665,tínhamos então um sério problema,Portuguese,Portuguese
12666,quando os meus filhos saírem de casa,Portuguese,Portuguese
12667,un seul homme sincère et il mourut sans le trouver,French,French
12668,che noi siamo le signore nellorganizzazione alla bmw ,Italian,Italian
12669,riguardassero limparare,Italian,Italian
12670, por cento dos fundos vieram da tailândia,Portuguese,Portuguese
12671,déclare que la dyslexie la aidé à écrire des phrases,French,French
12672,för att begå självmord på den här bron,Swedish,Swedish
12673,is nu redelijk stabiel en onder controle zodat zakenmensen,Dutch,Dutch
12674,jeg taler med mange investorer,Danish,Danish
12675,a dire che mi dispiace,Italian,Italian
12676,je ne pense pas que lon devrait blâmer google,French,French
12677,in die wereld wonen we vandaag,Dutch,Dutch
12678,i en mängd olika studier så är det möjligt att jämföra,Swedish,Swedish
12679,el mateix es pot aplicar a la globalització,Catalan,Catalan
12680,en weten jullie wat jullie zijn fout,Dutch,Dutch
12681,und entdeckte eine bedruckte karte,German,German
12682,une lampe à lave ou quelque chose comme ça,French,French
12683,die offenbarung vom september ist,German,German
12684,significant opwarmt er is vooruitgang,Dutch,Dutch
12685,på parkeringen den dagen,Danish,Swedish
12686,di americani in età da lavoro,Italian,Italian
12687,ved at forbyde folk at sprede sig,Danish,Danish
12688,die chinesen sehen den staat,German,German
12689,spielen verbracht haben zu denen ich sie ermutigt habe,German,German
12690,når de siger der er problemer på lang sigt,Danish,Danish
12691,os negros são tão felizes como os brancos,Portuguese,Portuguese
12692,jai aimé votre livre ditil mais jaurais aimé que vous layez écrit différemment ,French,French
12693,que els permetrà córrer més ràpid i més temps,Catalan,Catalan
12694,het kost teveel energie het zal te duur zijn,Dutch,Dutch
12695,avec des ultrasons focalisés guidés par irm,French,French
12696,ils ne peuvent pas penser ensemble,French,French
12697,quand mes amis venaient,French,French
12698,strömmande ner från lövtaket ovan,Swedish,Swedish
12699,geld van vreemden op zopa en lending club,Dutch,Dutch
12700,te geven om te floreren,Dutch,Dutch
12701,någonsin,Swedish,Swedish
12702,gaat het branden,Dutch,Dutch
12703,parce que est la moitié de ,French,French
12704,et hovedfag i paratviden,Danish,Danish
12705,que há mais truques malsucedidos,Portuguese,Portuguese
12706,då undrar man förstås,Swedish,Swedish
12707,a sua primeira paciente esperaa com o marido,Portuguese,Portuguese
12708,af en usandsynlig romance,Danish,Danish
12709,ens hem de centrar en les nostres pròpies idees,Catalan,Catalan
12710,som är någon som låtsas vara,Swedish,Swedish
12711,i led sono fantastici,Catalan,Italian
12712,i les estadístiques en japonès i en anglès son molt molt diferents,Catalan,Catalan
12713,nun als ich das betrachtete,German,German
12714,ik heb het natuurlijk over mannen met een jonge geest,Dutch,Dutch
12715,dat ze buitenshuis werken,Dutch,Dutch
12716,das pessoas afetadas por guerras e doenças,Portuguese,Portuguese
12717,riure,Catalan,Catalan
12718,for at frembringe rigtig magi,Danish,Danish
12719,e una persona a fare la fase due e la fase tre e così via,Italian,Italian
12720,de toute discipline scientifique,French,French
12721,eine gebiert grenzen,German,German
12722,som sände olika afrikanska berättelser över hela världen,Swedish,Swedish
12723,depois a sida apareceu e atingiu a tailândia,Portuguese,Portuguese
12724,secondo loro,Italian,Italian
12725,i certament no estem esperant que caigui,Catalan,Catalan
12726,et je promets de ne plus pleurer,French,French
12727,per tentare di capire la cina ,Italian,Italian
12728,jeg gjorde mit bedste,Danish,Danish
12729,det gick ett sus genom publiken när de hörde skillnaden,Swedish,Swedish
12730,le revers de cette médaille,French,French
12731,et on ma répondu,French,French
12732,og hvordan det fungerer,Danish,Danish
12733,então imaginámos um enorme projeto,Portuguese,Portuguese
12734,wir nennen sie neu andersleser,German,German
12735,musique,French,French
12736,ma ance lì cerano cose da imparare ,Italian,Italian
12737,nel quale le persone andavano e parlavano,Italian,Italian
12738,e quando se usam estas coisas não tem de se fazer assim,Portuguese,Portuguese
12739,dammi una sedi voglio vederla,Italian,Italian
12740,comment diable,French,French
12741,die stundenlang abgehalten wurden bis zur morgendämmerung,German,German
12742,oder eine hohe sterberate haben wollen,German,German
12743,je kon gemakkelijk nagaan of je experiment werkte,Dutch,Dutch
12744,e la si sposta al cinema,Italian,Italian
12745,folk spørger hvad sker der når moores lov stopper,Danish,Danish
12746,che erano un trofoblasto venuto fuori da una blastocisti,Italian,Italian
12747,um milagre estamos errados,Portuguese,Portuguese
12748,qui tenia una raó,Catalan,Catalan
12749,detta är pappersbiten som den kommer skapas med,Swedish,Swedish
12750,mörkret hade fallit,Swedish,Swedish
12751,e anche con il surriscaldamento se guardate queste linee blu,Italian,Italian
12752,hos pixar forstår de,Danish,Danish
12753,il pane e emigrato nei paesi tropicali,Italian,Italian
12754,di pensare che li ha creati,Italian,Italian
12755,een twee drie vier tot ongeveer acht kinderen per vrouw,Dutch,Dutch
12756,qual é a área do retângulo,Portuguese,Portuguese
12757,è composto da tre segmenti,Italian,Italian
12758,i tots vosaltres probablement el veureu girar en aquesta direcció,Catalan,Catalan
12759,hoe kan dat je niet optimistisch maken,Dutch,Dutch
12760,es ist eine schule wo man lesen lernt,German,German
12761,à voir ces tendances devenons nous découragés ou énergiques,French,French
12762,de ce volcan à  mètres,French,French
12763,och papegojfjädrar på sina huvudbonader,Swedish,Swedish
12764,hvis de mente der var nogle fejl,Danish,Danish
12765,folkedrab er et systematisk og bevidst,Danish,Danish
12766,unterhalb des meeresspiegels,German,German
12767,om het dna te ontwrichten,Dutch,Dutch
12768,og de sagde nej salget er faldende det er en fiasko,Danish,Danish
12769,sinó també quina mena de clima espacial té,Catalan,Catalan
12770,jubilacío celebració,Catalan,Catalan
12771,daarom wil ik het nu even hebben over upgraden,Dutch,Dutch
12772,però en el nostre esforç per a reconfigurar,Catalan,Catalan
12773,veia la família del fide quan era petita,Catalan,Catalan
12774,och essexstudien som precis har avslutats i storbritannien,Swedish,Swedish
12775,det handlar om att designa inte utseende utan upplevelse,Swedish,Swedish
12776,fotos anschaue,German,German
12777,aux débuts du projet dambulance,French,French
12778,wir werden uns nur die sterne innerhalb dieses kleinen quadrats ansehen,German,German
12779,de väntar vi väntar,Swedish,Swedish
12780,permettezmoi de vous montrer,French,French
12781,her er nogle data som vi har indsamlet gennem vores firma,Danish,Danish
12782,faire surface alors,French,French
12783,rires,French,French
12784,während ich also mit euch spreche,German,German
12785,aplausos,Portuguese,Portuguese
12786,li avevo inseriti nel nel mio libro la singolarità è vicina,Italian,Italian
12787,i quan en compres un pot ser que sigui una obra de veritat o potser no,Catalan,Catalan
12788,med et lille sæt bogstaver i matematik,Danish,Danish
12789,faço tantas coisas neste pequeno dispositivo,Portuguese,Portuguese
12790,in feite is het negatief,Dutch,Dutch
12791,om han hade ombetts att måla denna målning,Swedish,Swedish
12792,et créer un espace,French,French
12793,dass ich glaube dass die welt ein platz ist auf dem es sich lohnt zu leben,German,German
12794,que és amb una dosi alta de nanograms,Catalan,Catalan
12795,o americano médio costumava ser mais de vezes mais rico,Portuguese,Portuguese
12796,kommer du komma och släpa bort mig,Swedish,Swedish
12797,og man ser ofte dette problem,Danish,Danish
12798,développent et font avancer des propositions,French,French
12799,questo fatto è completamente differente,Italian,Italian
12800,sind wesentlich für unsere evolution,German,German
12801,wir werden dieses problem nicht lösen,German,German
12802,maar op het scherm van arabieren en afrikanen van senegalezen en syriërs,Dutch,Dutch
12803,ou voudraisje paraître à la télévision pour démontrer,French,French
12804,e lá para as h de manhã,Portuguese,Portuguese
12805,mais vous savez même tenir un seul ballon est quelque peu bienheureux,French,French
12806,riures,Catalan,Catalan
12807,ha imparato a giocare a tutti questi giochi,Italian,Italian
12808,bien avant que vous leur fassiez un discours,French,French
12809,parce que cest vraiment un génie,French,French
12810,dit verblindt addervissen of leidt ze af,Dutch,Dutch
12811,maintenant vous préférerez peutêtre ce painci,French,French
12812,eller de vi bryr oss om att bli patienter,Swedish,Swedish
12813,conservata in semplici sacchetti di carta marrone,Italian,Italian
12814,latter,Danish,Danish
12815,hvad de har regnet ud er sandt,Danish,Danish
12816,et voyez lordinateur portable comme un vaccin,French,French
12817,je regarde autour de moi elles sont là,French,French
12818,eles estavam a canalizar o espírito de meggendorfer,Portuguese,Portuguese
12819,jai voulu le faire parceque je tenais à continuer mes études,French,French
12820,se de praktiske konsekvenser,Danish,Danish
12821,und diese gebiete zu schützen,German,German
12822,e esperemos que consigamos usar isto,Portuguese,Portuguese
12823,ora nuoto in quel mare,Italian,Italian
12824,bem isto despertou uma mania no japão,Portuguese,Portuguese
12825,han berättade den för mig och var riktigt glad och skrattade,Swedish,Swedish
12826,ma famille est pauvre ma région na pas un bon service de santé,French,French
12827,il relie pékin,French,French
12828,veniva ritrasmesso tutto quello che facevano,Italian,Italian
12829,e as taxas de alfabetização permaneceram incrivelmente baixas até à segunda guerra mundial,Portuguese,Portuguese
12830,ils y sont allés parce que cétait,French,French
12831,wenn sie adam smith,German,German
12832,nicht wegwerfen können,German,German
12833,portanto o que é que acontece quando não é assim,Portuguese,Portuguese
12834,for at tabe sig,Danish,Danish
12835,vaig fer la meva primera exposició,Catalan,Catalan
12836,haben uns sehr geholfen,German,German
12837,ik bestelde stuks voor mijn school,Dutch,Dutch
12838,dans un pays heureux,French,French
12839,in strada certo,Italian,Italian
12840,så jag tänker lämna er med en berättelse,Swedish,Swedish
12841,dat niemand je kan geven,Dutch,Dutch
12842,och talen,Swedish,Swedish
12843,petit a ça ne marche que pour des microondes,French,French
12844,però és obvi que el nanopegat,Catalan,Catalan
12845,cè anche uno strumento per la ricerca,Italian,Italian
12846,aber wir können auch noch etwas anderes machen wir können mit farben musik machen,German,German
12847,indem mikroorganismen manipuliert werden um sehr nützliche produkte zu erhalten,German,German
12848,e transportados para longe das suas origens,Portuguese,Portuguese
12849,e questi sono ad esempio i cibi integrali i carboidrati non raffinati,Italian,Italian
12850,apenas efectivamente comprou um boião de compota,Portuguese,Portuguese
12851,der er flere selvmord i udviklede individualistiske lande,Danish,Danish
12852,dann ist ein weiteres wort fehlerfrei digitalisiert,German,German
12853,de famílias muito pobres,Portuguese,Portuguese
12854,e così il the new yorker cerca anche in qualche modo,Italian,Italian
12855,cest assez facile de travailler avec ça,French,French
12856,andai al quartiere chiamato bayviewhunters point,Italian,Italian
12857,hvem fører an,Danish,Danish
12858,de vegades la gent reacciona davant les alarmants dades de la crisi climàtica,Catalan,Catalan
12859,det är inte bra enligt min åsikt,Swedish,Swedish
12860,je sais je pense que nous devrions laisser la surprise,French,French
12861,und zweitens möchte ich sie überzeugen,German,German
12862,essa história tão pessoal e especial connosco,Portuguese,Portuguese
12863,nun grover norquist ist es nicht weil dieses system,German,German
12864,i vaig conèixer a una dona jove bonica,Catalan,Catalan
12865,das ist nicht so ein antiamerikanisches ding das hier passiert,German,German
12866,det kan fastna i ett oönskat tillstånd,Swedish,Swedish
12867,jag minns att hon hade skadat vristen,Swedish,Swedish
12868,i bliver skuffede,Danish,Danish
12869,ze willen zich veilig stellen ze willen naar de toekomst kijken,Dutch,Dutch
12870,se nos virmos uns aos outros,Portuguese,Portuguese
12871,possiamo apprendere levoluzione degli agenti patogeni,Italian,Italian
12872,så jag kom på listor alla kan skriva listor,Swedish,Swedish
12873,så jeg fik en grad,Danish,Danish
12874,die spanning is wat de werken doet bewegen,Dutch,Dutch
12875,nulla dallalfa allomega,Italian,Italian
12876,und geltungsbereich oder religion,German,German
12877,we maakten alles beschikbaar op het web,Dutch,Dutch
12878,para pôr isto em perspectiva foi o recorde anterior,Portuguese,Portuguese
12879, mi piacerebbe sapere ,Italian,Italian
12880,mas e então com as pessoas apanhámos à saída da rua,Portuguese,Portuguese
12881,det der er sket er sket,Danish,Danish
12882,og nu lever det i fysikafdelingen,Danish,Danish
12883,und die staaten zeigen einen,German,German
12884,en dat kan toch ook niet anders,Dutch,Dutch
12885,ich sage also immer zu meinen schülern,German,German
12886,belastten ze heelden ze,Dutch,Dutch
12887,ist eine technologische,German,German
12888,un home jubilat,Catalan,Catalan
12889,es spielt keine rolle ob ihr mann oder frau seid,German,German
12890,dovevamo tenere conto del fatto che la struttura della rete,Italian,Italian
12891,nas decisões terapêuticas,Portuguese,Portuguese
12892,et quil vole vers los angeles là il survole lohio,French,French
12893,ja der er andet arbejde i menneskerobot improvisation ,Danish,Danish
12894,daria van den bercken,Danish,Swedish
12895,diese dinge bewegen sich ganz schnell um die welt,German,German
12896,je ne sais pas,French,French
12897,en deden me beseffen dat ik niet zo snel,Dutch,Dutch
12898,og min mor fik tid til at læse for mig,Danish,Danish
12899,porque alguém se decidiu mexer,Portuguese,Portuguese
12900,queria saber,Portuguese,Portuguese
12901,is de kans vier keer zo groot,Dutch,Dutch
12902,la cura i la connexió,Catalan,Catalan
12903,tot samenwerken,Dutch,Dutch
12904,na lateral da cabeça,Portuguese,Portuguese
12905,acham que esses livros estão cheios de momentos de alegria e felicidade,Portuguese,Portuguese
12906,gelächter,German,German
12907,jeg opdagede at de fleste mennesker falder i et spektrum som jeg henviser til som grey gråt,Danish,Danish
12908,lärare och elever över hela världen,Swedish,Swedish
12909,um ihrer großmutter das bankkonto zu plündern,German,German
12910,jeg vil starte med at sige,Danish,Danish
12911,e ciò vi fa sentire molto sereni come se,Italian,Italian
12912,der blauwal,German,German
12913,la séparation entre le travailleur et le produit de son labeur,French,French
12914,perquè les endorfinestabaixen les defenses,Catalan,Catalan
12915,del regne unit,Catalan,Catalan
12916,dat ze als geheel gelezen kon worden,Dutch,Dutch
12917,sette miliardi di noi,Italian,Italian
12918,maar het is niet makkelijk om te vragen,Dutch,Dutch
12919,als we denkende organisaties willen,Dutch,Dutch
12920,i allà a lescola de la ciutat,Catalan,Catalan
